agent,nav,return_pct,ann_return,trades,expectancy,t_feature_mean,t_agent_mean,t_feature_p95,t_agent_p95,t_llm_mean,t_llm_p95,prompt_tokens,llm_cost_usd,decision_n,t_prompt_mean,t_parse_mean,t_total_mean,t_total_p95,completion_tokens,llm_calls,n_agents,llm_calls_clean,llm_calls_outlier
EnsembleAgent (every 15 min),98677.35,-1.3227,-11.1103,849,-0.8,123.57,2.79,134.29,3.26,0.0,0.0,0.0,0.0,1,,,,,,,,,
Orchestrator+LLM (every 15 min),98935.86,-1.0641,-8.9388,738,-0.81,129.43,13.16,150.14,25.88,5871.05,9979.1,1280.9,0.306321,1,0.33,0.02,5884.56,9996.0,351.5,760.0,3.0,,
TrendAgent (every 15 min),97734.49,-2.2655,-19.0303,908,-1.83,124.35,1.06,136.58,1.32,0.0,0.0,0.0,0.0,1,,,,,,,,,
EnsembleAgent (every 45 min),98281.52,-1.7185,-14.4353,545,-2.45,123.52,2.79,132.82,3.34,0.0,0.0,0.0,0.0,3,,,,,,,,,
Orchestrator+LLM (every 45 min),98923.43,-1.0766,-9.0432,444,-1.84,136.49,13.48,182.76,28.31,6568.67,11134.26,1273.3,0.101311,3,0.36,0.03,6582.55,11141.33,349.1,253.0,3.0,,
TrendAgent (every 45 min),98262.69,-1.7373,-14.5934,567,-2.34,124.23,1.05,136.91,1.27,0.0,0.0,0.0,0.0,3,,,,,,,,,
EnsembleAgent (every 75 min),99252.26,-0.7477,-6.281,428,-1.08,124.28,2.77,146.17,3.34,0.0,0.0,0.0,0.0,5,,,,,,,,,
Orchestrator+LLM (every 75 min),99438.9,-0.5611,-4.7132,338,-1.25,133.65,12.22,148.32,26.69,6089.14,10209.83,1281.2,0.060891,5,0.22,0.02,6101.6,10216.86,347.4,152.0,3.0,152.0,0.0
TrendAgent (every 75 min),98771.5,-1.2285,-10.3194,434,-2.24,132.96,1.16,159.65,1.72,0.0,0.0,0.0,0.0,5,,,,,,,,,
EnsembleAgent (every 225 min),99155.82,-0.8442,-7.0911,198,-3.48,124.09,2.93,138.05,3.45,0.0,0.0,0.0,0.0,15,,,,,,,,,
Orchestrator+LLM (every 225 min),99480.14,-0.5199,-4.3668,161,-2.79,125.25,11.75,139.33,25.88,6135.76,10226.79,1302.8,0.02015,15,0.35,0.02,6147.89,10237.01,346.0,50.0,3.0,,
TrendAgent (every 225 min),99474.61,-0.5254,-4.4132,188,-2.02,124.2,1.1,135.74,1.36,0.0,0.0,0.0,0.0,15,,,,,,,,,
